timestamp,generation,median,win_rate,max,min,bust_rate,mean,sd,seed,filename
20250813_023327,19,0.00,0.0460,0,0,0.6708,22.3560,81.6536,61,gen019_med0.00_win04_max0_min0_20250813_023327.json
20250813_023340,20,0.00,0.0460,0,0,0.6288,40.2180,183.3401,62,gen020_med0.00_win04_max0_min0_20250813_023340.json
20250813_023353,21,0.00,0.0580,0,0,0.5812,28.5600,91.1385,63,gen021_med0.00_win05_max0_min0_20250813_023353.json
20250813_023406,22,0.00,0.0480,0,0,0.5760,32.7600,103.2283,64,gen022_med0.00_win04_max0_min0_20250813_023406.json
20250813_023420,23,0.00,0.0480,0,0,0.6576,36.5880,169.0872,65,gen023_med0.00_win04_max0_min0_20250813_023420.json
20250813_023436,24,0.00,0.0460,0,0,0.5808,28.5600,95.6265,66,gen024_med0.00_win04_max0_min0_20250813_023436.json
20250813_023453,25,0.00,0.0500,0,0,0.5952,38.1900,138.0064,67,gen025_med0.00_win05_max0_min0_20250813_023453.json
20250813_023506,26,0.00,0.0400,0,0,0.7128,16.0000,59.9794,68,gen026_med0.00_win04_max0_min0_20250813_023506.json
20250813_023519,27,0.00,0.0580,0,0,0.5764,27.7400,79.7464,69,gen027_med0.00_win05_max0_min0_20250813_023519.json
20250813_023531,28,0.00,0.0540,0,0,0.6144,28.3140,104.3035,70,gen028_med0.00_win05_max0_min0_20250813_023531.json
20250813_023544,29,0.00,0.0480,0,0,0.5808,23.0200,66.3843,71,gen029_med0.00_win04_max0_min0_20250813_023544.json
20250813_023557,30,0.00,0.0560,0,0,0.5712,35.9100,111.5676,72,gen030_med0.00_win05_max0_min0_20250813_023557.json
20250813_023609,31,0.00,0.0460,0,0,0.6020,28.9440,92.4732,73,gen031_med0.00_win04_max0_min0_20250813_023609.json
20250813_023622,32,0.00,0.0500,0,0,0.5800,31.0700,92.5122,74,gen032_med0.00_win05_max0_min0_20250813_023622.json
20250813_023635,33,0.00,0.0500,0,0,0.5912,30.9000,105.5191,75,gen033_med0.00_win05_max0_min0_20250813_023635.json
20250813_024400,1,9.00,0.0480,60,0,0.4804,9.9840,10.3166,43,gen001_med9.00_win04_max60_min0_20250813_024400.json
20250813_024412,2,9.00,0.0440,108,0,0.4476,10.0340,9.8834,44,gen002_med9.00_win04_max108_min0_20250813_024412.json
